bn:00000004n	शून्य जीरो 0 शून्य_समारोह
bn:00004906n	मधुमक्खी label apis_mellifera एपीआई_mellifera मधुप पश्चिमी_मधुप पश्चिमी_शहद_मधुमक्खी मधुमक्खियों यूरोपीय_मधुमक्खी_शहद
bn:00004989n	ट्रॉय_औंस apothecaries_औंस
bn:00004992n	भेषजज्ञ औषधकारक अत्तार apothecaries apothecary गोली_ढकेलनेवाला गोली_रोलर फ़ार्मासिस्ट फार्मासिस्ट वितरण_रसायनज्ञ
bn:00004993n	औषधनिर्माण केमिस्ट_की_दुकान फार्मेसी औषध_विज्ञान भेषज_विज्ञान भेषजी दवा_की_दुकान अत्तार_की_दुकान दवा_की_दुकानों फार्मेसियों रसायनज्ञ_है
bn:00005004n	तंत्र
bn:00005007n	कपड़े परिधान_पहने_हुए वस्त्र
bn:00005017n	इसरार
bn:00005019n	अपील appellee अपील_की अपीलीय अपीलीय_समीक्षा
bn:00005021n	अपील_की_बोर्ड अपील_बोर्ड
bn:00005023n	מראה उपस्थिति दृश्य_पहलू
bn:00005024n	दिखना
bn:00005043n	परिशिष्ट
bn:00005053n	ताली_बजाना ताली वाहवाही शाबाशी handclaps ताली_बजाने हाथ_ताली_बजाने
bn:00005076n	सेउ सेब सेव सेब_का_वृक्ष सेब_के_पेड़
bn:00005088n	गैजेट gui_विजेट कोंटरापशन विजेट
bn:00005091n	आवेदक
bn:00005092n	आवेदन व्यवहारिक_प्रयोग
bn:00005093n	आवेदन
bn:00005094n	
bn:00005106n	अभियन्ता इंजीनियर अभियंता प्रौद्योगिकीविद् लागू_वैज्ञानिक
bn:00005109n	
bn:00005110n	नियुक्ति
bn:00005111n	
bn:00005112n	
bn:00005119n	संस्थिति
bn:00005125n	
bn:00005126n	
bn:00005129n	appreciativeness कृतज्ञता
bn:00005133n	आशंका भय सशंकता
bn:00005134n	समझ समझने सामान्य_बुद्धि
bn:00005136n	गिरफ़्तारी गिरफ़्तार गिरफ्तार गिरफ्तारी हिरासत_में_लेने_के
bn:00005137n	प्रशिक्षु apprenticed apprenticeships अंतेवासी प्रशिक्षुओं शिक्षु शिक्षुता
bn:00005141n	दृष्टिकोण हमले_की_योजना
bn:00005142n	दृष्टिकोण
bn:00005159n	
bn:00005160n	अनुकूल_स्वागत
bn:00005164n	अनुमान अंदाज़ा आकलन
bn:00005169n	अप्रैल
bn:00005180n	एप्रन तहबन्द aprons
bn:00005200n	एक्वुआ पीरोज़ा पेरज पेरोज फ़ीरोज़ा एक्वा फ़िरोज़ा मेरकंठी_रंग हरा_नीले_रंग
bn:00005242n	आर्गन अर्गोन मंदाति आर्गॉन ar ऑर्गन argon परमाणु_संख्या_18
bn:00005348n	कुंज pergola pergolas मंडम
bn:00005361n	वैद्युत_आर्क बिजली_के_निर्वहन arcing आर्क_डिस्चार्ज चाप बिजली_के_चाप बिजली_चाप
bn:00005362n	चाप परिपत्र_चाप
bn:00005380n	डिग्री अंश arcdegree
bn:00005399n	archbishopric archbishops आर्कबिशप मुख्य_धर्माध्यक्ष लाट_पादरी_से_संबंधित
bn:00005433n	paleocortex allocortex archicortex archipallium
bn:00005435n	वास्तुकार वास्तुक वास्तुविद् डिज़ाइनर आर्किटेक्ट डिजाइनर डिजाइनरों
bn:00005461n	आर्कटिक आर्कटिक_मंडल उत्तरी_शीत_कटिबन्ध शीत_कटिबन्ध आर्कटिक_क्षेत्र उत्तर_उदासीन_कटिबंध
bn:00005465n	आर्कटिक_रेखा आर्कटिक_सर्कल उत्तरध्रुवीय_वृत्त उत्तरी_ध्रुववृत्त
bn:00005511n	fervidness उत्सुकता
bn:00005513n	क्षेत्रफल area क्षेत्रफ़ल क्षेत्र
bn:00005514n	क्षेत्र
bn:00005515n	क्षेत्र
bn:00005516n	क्षेत्र
bn:00005517n	
bn:00005524n	areaway
bn:00005599n	विवाद बहस वादानुवाद controversies झगड़ा बिबाद तर्क disceptation प्रतिवाद विवादास्पद विवादों
bn:00005600n	तर्क बयान
bn:00005601n	वाद-विवाद बहस तर्क_सिद्धांत बहस_टीम बहस_मुबाहिसे_का_गिरोह भाषण_और_बहस राजनीतिक_बहस विवाद
bn:00005605n	तर्क तार्किकता तर्क_की_लाइन तार्किक_तर्क तार्किक_बहस लाइन
bn:00005658n	triamcinolone aristocort aristopak kenalog triamcinolone_acetonide
bn:00005674n	अरस्तु अरिस्टोटल अरस्तू आरस्तु
bn:00005676n	अंकगणित अङ्कगणित arithmetics अंकगणितीय_आपरेशनों गणित
bn:00005702n	बाँह बांह बाज़ू हाथ ऊपरी_बांह
bn:00005704n	हथियार आयुध शस्त्र हथियार_प्रणाली हथियार_प्रणालियों
bn:00005706n	शाखा
bn:00005707n	आस्तीन बाँह
bn:00005717n	आर्माडिलो armadillos dasypodidae वर्मी
bn:00005721n	आयुध
bn:00005729n	आराम-कुर्सी हाथकुर्सी बंहदार_कुरसी
bn:00005731n	संव्याध झगड़े सशस्त्र_मुकाबला
bn:00005732n	सेना अस्कर फ़ौज फौज लशकर लश्कर सामरिक सैनिक सशस्त्र_बलों सशस्त्र_सेवाओं सैन्य युद्ध_मशीन सशस्त्र_प्रतिरोध सशस्त्र_बल सशस्त्र_सेना सेनाओं सैन्य_बलों सैन्य_मशीन सैन्य_शाखा
bn:00005737n	सशस्त्र_सेवा सैन्य_शाखा सैन्य_सेवा
bn:00005768n	armoire
bn:00005769n	कवच
bn:00005778n	टैंक टेंक कवचयान टैंक_कमांडर बख्तरबंद_लड़ाकू_वाहन बख्तरबंद_लड़ाकू_वाहनों बख्तरबंद_वाहन_से_निपटने सेना_के_टैंक
